"fecha","modo_app","dosis","hojas","altura","circ","cre_h","cre_a","cre_circ"
"110","157","RI","0.5",54,73,3.7,30,32,0.1
"111","157","AS","0.5",52,54,4,24,17,0.6
"112","157","AS","0.5",37,56,4.3,23,35,0.2
"113","157","AS","0.5",46,57,3.6,29,26,-0.1
"114","157","AS","0.5",34,48,4.2,20,26,0.8
"115","157","AS","0.5",53,55,3.1,25,17,-0.1
"116","157","RI","1",41,67,3.5,16,28,0.4
"117","157","RI","1",27,43,3,12,10,-0.2
"118","157","RI","1",NA,NA,NA,NA,NA,NA
"119","157","RI","1",55,56,3.2,37,14,-0.0999999999999996
"120","157","RI","1",41,55,3.3,25,23,0.3
"121","157","AS","1",20,30,3.2,2,7,0.2
"122","157","AS","1",42,66,3.6,17,23,0.2
"123","157","AS","1",40,65,2.2,25,30,-1.1
"124","157","AS","1",51,52,3.4,30,22,0.3
"125","157","AS","1",50,53,3.5,27,14,0.4
"126","157","RI","1.5",31,57,3.5,18,27,-0.3
"127","157","RI","1.5",16,33,3.5,4,-1,0
"128","157","RI","1.5",36,63,4,20,31,-0.2
"129","157","RI","1.5",38,78,4,26,47,0.2
"130","157","RI","1.5",52,60,3.1,33,27,0
"131","157","AS","1.5",42,71,3.8,28,41,0.6
"132","157","AS","1.5",38,45,3.7,19,20,0.5
"133","157","AS","1.5",34,72,3.8,14,31,0.5
"134","157","AS","1.5",39,50,3.2,20,27,0.7
"135","157","AS","1.5",26,40,3.1,15,27,1
"136","157","b","b",NA,NA,NA,NA,NA,NA
"137","157","b","b",38,55,3.1,23,24,0.3
"138","157","b","b",34,60,3.3,14,24,0.3
"139","157","b","b",33,58,3,15,23,0.4
"140","157","b","b",44,41,3.4,17,25,1
